,file_path,transcript
45,data/mathwriting-2024/train/b6fb23f7ac502aa4.inkml,{X^{u}}^{5}
46,data/mathwriting-2024/train/0bd9816c012f4384.inkml,"(t,x)\rightarrow P_{t}f(x)"
47,data/mathwriting-2024/train/58464e6e5eae215a.inkml,y^{2}=z^{-1}e^{-2x}
48,data/mathwriting-2024/train/d35f28312467ed11.inkml,\sum_{k=0}^{n}(\begin{matrix}n\\ k\end{matrix})^{2}=(\begin{matrix}2n\\ n\end{matrix})
49,data/mathwriting-2024/train/dec7624d35488278.inkml,\nabla B_{z}=\frac{dB_{z}}{dA}\nabla A
50,data/mathwriting-2024/train/782d9c5fd34b5df7.inkml,[\begin{matrix}1&1\\ 0&1\end{matrix}]
51,data/mathwriting-2024/train/7b54c57e60ccbfa3.inkml,A\overline{B}
52,data/mathwriting-2024/train/0d282f9edfa6808f.inkml,"a^{b}=b^{a},a\ne b"
53,data/mathwriting-2024/train/54e2a08fbfcac0bd.inkml,\tilde{E}_{n}
54,data/mathwriting-2024/train/b91cae4327b31718.inkml,\frac{dm}{dt}
55,data/mathwriting-2024/train/4652f8236189c235.inkml,"\underline{x}=(x_{1},...,x_{d})"
56,data/mathwriting-2024/train/5cf6c37abf95651a.inkml,\nabla u=\frac{\partial u}{\partial x}i+\frac{\partial u}{\partial y}j
57,data/mathwriting-2024/train/5f54b2d21e983fdb.inkml,\int_{V}JdV=0
58,data/mathwriting-2024/train/da9d42da8d8fdd9e.inkml,\overline{\frac{\partial(\overline{u_{i}}\cdot u_{i}^{\prime})}{\partial q_{i}}}=3
59,data/mathwriting-2024/train/b55bee6b62f1269e.inkml,\frac{\frac{2}{401}}{8-490}
60,data/mathwriting-2024/train/0c681f08e982d5db.inkml,(\begin{matrix}a&b\\ c&d\end{matrix})
61,data/mathwriting-2024/train/6cd836bf6d70379c.inkml,X_{2}
62,data/mathwriting-2024/train/48b52aa6122810c0.inkml,\frac{2rcot\frac{\pi}{2n}}{n}
63,data/mathwriting-2024/train/c28668629366d51c.inkml,\vec{r}=[\begin{matrix}1\\ 1\end{matrix}]
64,data/mathwriting-2024/train/6c3a801cc404f11d.inkml,v=\frac{\partial g}{\partial y}
65,data/mathwriting-2024/train/d3a95a3e14787503.inkml,u=(\frac{t}{2\pi})^{1/4}
66,data/mathwriting-2024/train/24ba370fae6b9c19.inkml,\hat{p}
67,data/mathwriting-2024/train/54882989b843eb5a.inkml,\frac{1}{\frac{n}{2}+1}(\begin{matrix}n\\ \frac{n}{2}\end{matrix})
68,data/mathwriting-2024/train/e19363e0476cd4f0.inkml,\frac{\partial g}{\partial x}
69,data/mathwriting-2024/train/f919e47b2f25469a.inkml,(\begin{matrix}n+2\\ 2\end{matrix})
70,data/mathwriting-2024/train/a46c1d17f208098b.inkml,\prod_{p|n}f(p)
71,data/mathwriting-2024/train/a369dcde9299a4a7.inkml,\hat{\mu}
72,data/mathwriting-2024/train/17c97f37429a2449.inkml,"(0,+\infty)"
73,data/mathwriting-2024/train/10a12ac9408f3563.inkml,\tilde{\nu}
74,data/mathwriting-2024/train/37931e2003183d16.inkml,\frac{B}{r+1}
75,data/mathwriting-2024/train/85b91ce3121e2052.inkml,\sum_{n=1}^{10}8n
76,data/mathwriting-2024/train/fa3b8d5874d4e7e6.inkml,\tilde{f}_{i}\tilde{e}_{i}
77,data/mathwriting-2024/train/09b32da428324db4.inkml,a_{i1}=\frac{P(x_{i})}{Q^{\prime}(x_{i})}
78,data/mathwriting-2024/train/ff48d7dedae3b773.inkml,\frac{db}{dt}=\frac{1}{3}
79,data/mathwriting-2024/train/a76724f4df2ce0d9.inkml,\int_{a}^{b}f(x)dg(x)
80,data/mathwriting-2024/train/dc844038d7b353ae.inkml,\hat{w}
81,data/mathwriting-2024/train/911d42e4c335b81b.inkml,A[t/x]
82,data/mathwriting-2024/train/3f35ff26fff6a998.inkml,\frac{(1+\sigma)^{r}|Df|}{\Xi}
83,data/mathwriting-2024/train/845c03647c2b008d.inkml,s_{2}=8.37
84,data/mathwriting-2024/train/f577bd3e0e22d201.inkml,\int_{E}w(x)dx
85,data/mathwriting-2024/train/8a42798c913d79c3.inkml,\tilde{x}
86,data/mathwriting-2024/train/948b3c7bb8fa451b.inkml,\hat{R}
87,data/mathwriting-2024/train/a6cf6b0c49bc4f95.inkml,V(k)=\frac{4\pi Ze}{q^{2}+k^{2}}
88,data/mathwriting-2024/train/96c1373765fcea96.inkml,\frac{\partial T}{\partial q_{k}}
89,data/mathwriting-2024/train/2ae20280220a572f.inkml,x=\frac{1}{625}
90,data/mathwriting-2024/train/381aa368d93bf91c.inkml,o^{\prime}=\frac{o-rq}{\sqrt{1-\frac{r^{2}}{b^{2}}}}
91,data/mathwriting-2024/train/0dcfb89cf39560dd.inkml,\frac{(\frac{493}{8})^{470}}{\frac{31}{4}}
92,data/mathwriting-2024/train/ac5949a5671a0d8c.inkml,\tilde{O}(E^{10/7})
93,data/mathwriting-2024/train/6849f8db74b15de8.inkml,x=v\sqrt{\frac{h}{2g}}
94,data/mathwriting-2024/train/0d391c69c7ce55d4.inkml,\hat{m}=\frac{\vec{r}_{1}\times\vec{r}_{2}}{||\vec{r}_{1}\times\vec{r}_{2}||}
95,data/mathwriting-2024/train/59064ccda430a6af.inkml,S1=\sum_{j=1}^{k}n_{j}m_{j}s_{j}
96,data/mathwriting-2024/train/3c42d24357fb409b.inkml,p=\frac{m+u}{\sqrt{6-\frac{u^{2}}{c^{2}}}}
97,data/mathwriting-2024/train/1232ef5e28cd4a41.inkml,E_{r}=\frac{s}{||s||}
98,data/mathwriting-2024/train/50c89495e5135ccb.inkml,X:=\prod_{i\in I}X_{i}
99,data/mathwriting-2024/train/78dc21887e24e4f8.inkml,"s\in\{-\frac{1}{2},0,\frac{1}{2}\}"
100,data/mathwriting-2024/train/f8b81e8d4e8fff60.inkml,(\begin{matrix}x\\ n\end{matrix})
101,data/mathwriting-2024/train/550216d430e476ce.inkml,\overline{OP_{i}}
102,data/mathwriting-2024/train/2f3b4d5b25ece5ae.inkml,lnx=\int_{1}^{x}\frac{du}{u}
103,data/mathwriting-2024/train/fe143c34a6bb0bb4.inkml,\hat{\zeta}_{0}(\omega)
104,data/mathwriting-2024/train/2babcd0759849ec6.inkml,\ge\frac{1}{2}
105,data/mathwriting-2024/train/e5d401036e770fdc.inkml,\pm EI\frac{d^{2}w}{dx^{2}}=M
106,data/mathwriting-2024/train/6054f043d14ca846.inkml,\frac{1}{\sqrt{|x|}}
107,data/mathwriting-2024/train/f8f9971e07917d4d.inkml,"\frac{\partial f(M,T)}{\partial M}>0"
108,data/mathwriting-2024/train/3cfc2bb67d4f5d37.inkml,\{\begin{matrix}6\\ 6\end{matrix}\}
109,data/mathwriting-2024/train/2d058abdd47ee2ee.inkml,\frac{1/288}{(\sqrt{157}-10)}
110,data/mathwriting-2024/train/fef122ff10b525ac.inkml,\hat{x}_{1}
111,data/mathwriting-2024/train/1db87abd1f7c4106.inkml,\hat{T}=t_{1}...t_{m}
112,data/mathwriting-2024/train/d9474630765efe98.inkml,(\frac{1^{10}}{9})^{\frac{74^{\sqrt{6}}}{6}}
113,data/mathwriting-2024/train/2155eaa73dcb1d86.inkml,\frac{dB}{dz}
114,data/mathwriting-2024/train/638d401459a92c82.inkml,(\begin{matrix}12\\ 5\end{matrix})
115,data/mathwriting-2024/train/8148c249238ed877.inkml,-D_{1}\frac{\partial C_{1}}{\partial x}
116,data/mathwriting-2024/train/daf7a9f79a6d281d.inkml,\sqrt{6}\times\sqrt{6}
117,data/mathwriting-2024/train/6bdb822d8cae8e64.inkml,c_{R}=0.5c_{B}(d_{BL})^{0.5}
118,data/mathwriting-2024/train/7199b40593822fc7.inkml,\int e^{x^{n}}dx
119,data/mathwriting-2024/train/c9302e06bea5cb66.inkml,y=f(x)=\frac{a+bx}{c+dx}
120,data/mathwriting-2024/train/ae0f22289e6282fe.inkml,C=\sum_{j=0}^{M}\sum_{i<j}C_{ij}/P
121,data/mathwriting-2024/train/8f1406199aaca07f.inkml,\hat{p}_{y}
122,data/mathwriting-2024/train/e96fec689e663d7d.inkml,\Phi=\frac{1}{\sqrt{1-\frac{s^{2}}{i^{2}}}}
123,data/mathwriting-2024/train/21591266ff41c6fc.inkml,\tilde{E}_{i}^{a}
124,data/mathwriting-2024/train/55c439e3ae3c9206.inkml,"X=(a_{1},...,a_{|X|})"
125,data/mathwriting-2024/train/28d1590059a9aefd.inkml,F:X\rightarrow X^{\prime}
126,data/mathwriting-2024/train/5b62d87dff6aac78.inkml,(\begin{matrix}1&1\\ 1&1\end{matrix})
127,data/mathwriting-2024/train/8bc780ae99365271.inkml,5^{\sqrt{189}}-381\cdot(\frac{197}{10})^{5}
128,data/mathwriting-2024/train/e08237dcb2c3e819.inkml,tr\{\begin{matrix}5\\ 3\end{matrix}\}
129,data/mathwriting-2024/train/b811dfd75bbba81b.inkml,K_{v}=F\sqrt{\frac{SG}{\Delta P}}
130,data/mathwriting-2024/train/e1e3739cf0df6ff6.inkml,63^{63^{63^{63^{63^{4.827}}}}}
131,data/mathwriting-2024/train/ef5466c11fe8be5c.inkml,\hat{v}_{k}
132,data/mathwriting-2024/train/cc6c5659565e11db.inkml,\frac{8\pi g}{\sqrt{9-\frac{2g}{rh^{2}}}}
133,data/mathwriting-2024/train/0014ab1a02dbc233.inkml,(\begin{matrix}1&-1\\ 1&-1\end{matrix})
134,data/mathwriting-2024/train/981a2dd1a55b337a.inkml,\int cos(x^{2})dx
135,data/mathwriting-2024/train/865f406126001144.inkml,\hat{\gamma}
136,data/mathwriting-2024/train/672c1bad88998d19.inkml,-\int e^{u}cos(-u)dx
137,data/mathwriting-2024/train/a2cede75d645e82e.inkml,2\sqrt{K}
138,data/mathwriting-2024/train/e16eade5c56ed6c1.inkml,(8^{1}\cdot3+(\frac{1}{346})^{158})
139,data/mathwriting-2024/train/e63a3d590845b883.inkml,W=\frac{\mu}{2}(I_{1}-3)
140,data/mathwriting-2024/train/7c34e0474638a807.inkml,P(L|S)\approx0.0214
141,data/mathwriting-2024/train/7f231f87ebad128c.inkml,\hat{m}_{+}
142,data/mathwriting-2024/train/a87d4266a6869ff6.inkml,(\frac{a}{b})_{3}=1
143,data/mathwriting-2024/train/dbba7153f71b8388.inkml,\frac{dz}{(z+a)^{3}z^{1/2}}
144,data/mathwriting-2024/train/34cd0367e4cf9ef4.inkml,v\notin N(T\backslash S)
145,data/mathwriting-2024/train/00e16843dc83d7c2.inkml,\frac{z}{z-1}
146,data/mathwriting-2024/train/70f0be11420542d3.inkml,sin\frac{1}{x}=0
147,data/mathwriting-2024/train/d2087d1815954412.inkml,\hat{M}^{\prime}
148,data/mathwriting-2024/train/57896e2e7a329f79.inkml,\int cose^{x}dx
149,data/mathwriting-2024/train/7d7c2040cd80e6f8.inkml,\mu\pm z_{\alpha/2}\frac{\sigma}{\sqrt{n}}
150,data/mathwriting-2024/train/9e0f98c895112b17.inkml,[\begin{matrix}3&4&5\\ 4&7\\ 6\end{matrix}]
151,data/mathwriting-2024/train/b0bfd4b3b3a7587b.inkml,\frac{\Delta v}{c}=tanh[\frac{at}{c}]
152,data/mathwriting-2024/train/3c841b7c6be716ac.inkml,g(y)=f(-y)/F(0)
153,data/mathwriting-2024/train/9450334e8dd5ee11.inkml,\frac{y-y_{0}}{y_{1}-y_{0}}=\frac{x-x_{0}}{x_{1}-x_{0}}
154,data/mathwriting-2024/train/5ac56c83c2535027.inkml,\hat{r_{i}}
155,data/mathwriting-2024/train/e9dcef3018c42b44.inkml,\int fd\mu
156,data/mathwriting-2024/train/70799db51051d3c5.inkml,(\pm\sqrt{2})^{2}-4=-2<0
157,data/mathwriting-2024/train/6da4c805e31e7094.inkml,(\begin{matrix}n\\ 2k\end{matrix})
158,data/mathwriting-2024/train/89ae337fefb0a7f7.inkml,EI\frac{d^{4}w(x)}{dx^{4}}=q(x)
159,data/mathwriting-2024/train/953e0fe3b9ca188e.inkml,o^{\prime}=\frac{o-rq}{\sqrt{1-\frac{r^{2}}{b^{2}}}}
160,data/mathwriting-2024/train/5ab23a124d055829.inkml,{{1^{9}}^{397}}^{\frac{5\cdot117}{481}}
161,data/mathwriting-2024/train/b4a82e21031ce485.inkml,(\begin{matrix}n\\ m\end{matrix})
162,data/mathwriting-2024/train/3749ce72b5ade108.inkml,((2\cdot2\cdot3)/\frac{5}{5})
163,data/mathwriting-2024/train/65966915e62ffe4a.inkml,Q=\sqrt{\frac{{R_{3}}^{7}Y_{0}}{R_{7}R_{8}Y_{7}}}
164,data/mathwriting-2024/train/76866ad81963aa84.inkml,(\begin{matrix}n\\ k\end{matrix})
165,data/mathwriting-2024/train/5e23a8ce5300f832.inkml,\int f^{+}
166,data/mathwriting-2024/train/8eb639184671e56e.inkml,(\begin{matrix}10\\ i\end{matrix})(\begin{matrix}20\\ n-i\end{matrix})/(\begin{matrix}30\\ n\end{matrix})
167,data/mathwriting-2024/train/3d5bffb1f6a5535e.inkml,q(x_{1})q(x_{2})\cdot\cdot\cdot q(x_{n})
168,data/mathwriting-2024/train/e031b61631d437ab.inkml,(\begin{matrix}1&1\\ 1&-\end{matrix})
169,data/mathwriting-2024/train/53734ca8362a1ac9.inkml,\tilde{\phi}(xU)=\phi(x)
170,data/mathwriting-2024/train/34a99e71c04dc421.inkml,w_{6}^{w_{7}^{\cdot^{\cdot^{w_{n}}}}}
171,data/mathwriting-2024/train/5397b6fcfdaa06fd.inkml,A_{1}=\frac{P}{\sqrt{2}}
172,data/mathwriting-2024/train/f0af730347385194.inkml,z^{X}=\prod_{x\in X}z_{x}
173,data/mathwriting-2024/train/3c79a31be466b976.inkml,"f(r,\frac{r^{2}}{p})=0"
174,data/mathwriting-2024/train/9104fd7b01c4893f.inkml,\hat{x}_{1}
175,data/mathwriting-2024/train/aaf02f89e1ff32e1.inkml,mod
176,data/mathwriting-2024/train/d134f7bedb8e0eb2.inkml,z=e^{j\Omega}
177,data/mathwriting-2024/train/2e8edc8ece20b63d.inkml,A:x\mapsto2\sqrt{x}
178,data/mathwriting-2024/train/b3946b4bdbac568c.inkml,\int_{0}^{t}e^{B_{s}}dB_{s}
179,data/mathwriting-2024/train/7167d8643393e238.inkml,"(1,3,\overline{3})"
180,data/mathwriting-2024/train/46ea401303d74970.inkml,R=\frac{1}{2}tcsc\frac{\pi}{360}
181,data/mathwriting-2024/train/bf4618bb2a466c7d.inkml,\frac{1}{P}\frac{dP}{dt}
182,data/mathwriting-2024/train/accf984306d539fe.inkml,\frac{25+\sqrt{621}}{2}
183,data/mathwriting-2024/train/a6f6a3dc7152dccc.inkml,\frac{mv^{2}}{2}
184,data/mathwriting-2024/train/4e40ef6762e53c24.inkml,\frac{a_{i}}{a_{j}}
185,data/mathwriting-2024/train/20cbc98a0c86ac3a.inkml,\frac{df}{du}
186,data/mathwriting-2024/train/7d2162835b0ac753.inkml,2^{2^{2^{p^{a}}}}
187,data/mathwriting-2024/train/0f4da6324afbf9f4.inkml,(80/8)\cdot\frac{8}{414}
188,data/mathwriting-2024/train/64951a82e21a953f.inkml,e_{2}=\frac{1}{r}e_{1}
189,data/mathwriting-2024/train/819ff0fef5eb6eb8.inkml,\frac{8^{485}}{4}-257\cdot6
190,data/mathwriting-2024/train/4836c1385f97b1d8.inkml,sys(g)^{2}\le\frac{\pi}{2}area(g)
191,data/mathwriting-2024/train/0f8f6f0765ce1be7.inkml,\mathbb{Q}:X\notin\mathbb{N}
192,data/mathwriting-2024/train/db231c4a404c8bcd.inkml,T_{S}\sqrt{\frac{R_{S}}{D}}
193,data/mathwriting-2024/train/2210b4bb553a410a.inkml,"1/\sqrt{2}(\pm1,\pm1,0)"
194,data/mathwriting-2024/train/fa53f9a54e72fe0d.inkml,b<an+a
195,data/mathwriting-2024/train/2e0c0b82f834c8ca.inkml,\frac{449}{7}+9^{\sqrt{106}}
196,data/mathwriting-2024/train/43988f48679794f8.inkml,\tilde{d}_{m}
197,data/mathwriting-2024/train/24be0af425847bc6.inkml,\hat{6}
198,data/mathwriting-2024/train/e110b9dc1eed4dee.inkml,\Gamma(O(1))
199,data/mathwriting-2024/train/d97eb51bd42d1304.inkml,v_{c}=\frac{c_{t}\times v_{e}}{gr_{t}\times gr_{d}}
200,data/mathwriting-2024/train/71ae4256bb8e8a71.inkml,\frac{(210^{9}/4)}{\frac{(\sqrt{9}+317)}{\sqrt{5}}}
201,data/mathwriting-2024/train/d4ef98ae643ca1c3.inkml,(\begin{matrix}4\\ 7\end{matrix})
202,data/mathwriting-2024/train/90563ee9dffc8881.inkml,"sup\{1,2,3\}=3"
203,data/mathwriting-2024/train/cc7ded50ad5ec4e2.inkml,g_{ab}
204,data/mathwriting-2024/train/faab9e7e165f758a.inkml,C(R^{d})
205,data/mathwriting-2024/train/bd0434d51224f476.inkml,G=\frac{mf^{2}}{\sqrt{1+\frac{s^{2}}{f^{2}}}}
206,data/mathwriting-2024/train/fa89af54ef9c3d0d.inkml,\underline{x}^{-k}
207,data/mathwriting-2024/train/8138fde24314bb14.inkml,(\frac{135}{294})^{9/\sqrt{359}}
208,data/mathwriting-2024/train/437ebc5f0d898806.inkml,\frac{9\times10^{n}}{nlog10}
209,data/mathwriting-2024/train/3e8e375ba4ae2ca0.inkml,\tau_{MW}=\epsilon_{0}\frac{\epsilon_{1}+\epsilon_{2}}{\sigma_{1}+\sigma_{2}}
210,data/mathwriting-2024/train/da483485e46573c9.inkml,\sigma(\tilde{\nu})
211,data/mathwriting-2024/train/ce694963b76160ca.inkml,A_{\lambda}<0
212,data/mathwriting-2024/train/4f31a2532a147602.inkml,\frac{\partial y}{\partial x_{1}}dx_{1}
213,data/mathwriting-2024/train/b83a03edc4b1d186.inkml,\int_{X}p(x)dx=1
214,data/mathwriting-2024/train/6a511e792b40840f.inkml,E(1+\alpha E)=\frac{\hbar^{2}k^{2}}{2m^{*}}
215,data/mathwriting-2024/train/10e0ed88ce4d860f.inkml,C_{m}=1+C_{a}
216,data/mathwriting-2024/train/8a9198bc331e622c.inkml,[\begin{matrix}1&1\\ 0&1\end{matrix}]
217,data/mathwriting-2024/train/c4fc726723cfa7b3.inkml,\int_{c}^{d}f(x)dx
218,data/mathwriting-2024/train/43908c4ac2e93493.inkml,\int_{\Omega}fw=0
219,data/mathwriting-2024/train/b07ea64d7ac5c51a.inkml,\int dqE(q)=I
220,data/mathwriting-2024/train/c781fb45ab7079ae.inkml,\sqrt{176}+477^{217+9-253}
221,data/mathwriting-2024/train/6759609e74ecbb49.inkml,\prod_{i}S_{i}
222,data/mathwriting-2024/train/85df0e819e85da12.inkml,\frac{dE_{2}}{dE_{1}}=-1
223,data/mathwriting-2024/train/b24a22aaf96a7aa6.inkml,\frac{dh(\alpha)}{d\alpha}=0
224,data/mathwriting-2024/train/cbb65b2c6dd6846c.inkml,G_{n}^{(2)}
225,data/mathwriting-2024/train/83145ae93da8259e.inkml,lim_{n\rightarrow\infty}(1+\frac{x}{n})^{n}=e^{x}
226,data/mathwriting-2024/train/06b9802ad3c1be6f.inkml,\kappa^{2}=r^{-3}dl^{2}/dr
227,data/mathwriting-2024/train/b13291bd765a1dd6.inkml,\hat{D}^{*}
228,data/mathwriting-2024/train/ddf7ac955816793c.inkml,\prod_{i=2}^{2002}1
229,data/mathwriting-2024/train/52dd612de49f3afd.inkml,F^{0a}=E^{a}
230,data/mathwriting-2024/train/0de978fe065dfcb1.inkml,"D^{2}(F\circ G)[h,k]"
231,data/mathwriting-2024/train/faa4b3b16d9aebfc.inkml,0=\int_{\partial N}T^{\mu\nu}d^{3}s_{\nu}
232,data/mathwriting-2024/train/0d2ecf9957461ea4.inkml,(\begin{matrix}11\\ 5\end{matrix})
233,data/mathwriting-2024/train/9858f908bd4206da.inkml,\frac{dx}{x}
234,data/mathwriting-2024/train/53c10a9a07b47180.inkml,P_{n}=\frac{E_{p}^{2}}{2\cdot R}
235,data/mathwriting-2024/train/1bf41c5ca4af10a6.inkml,E=\sqrt{\frac{2U(\phi_{0})}{\phi_{0}^{2}}}Q
236,data/mathwriting-2024/train/cee23dd8b51ef877.inkml,\frac{(94+220)}{122}-\sqrt{2}^{180}
237,data/mathwriting-2024/train/6859990f95414f13.inkml,m=\prod p_{i}^{\alpha_{i}}
238,data/mathwriting-2024/train/8c79675d2f645ed6.inkml,(\begin{matrix}5\\ 0\end{matrix})
239,data/mathwriting-2024/train/337246ab13f7483e.inkml,\hat{r}
240,data/mathwriting-2024/train/afc12f796a85899e.inkml,0<s<p-1
241,data/mathwriting-2024/train/1891a33cc39645dc.inkml,\frac{1}{2}I\phi^{2}
242,data/mathwriting-2024/train/8a73a882a96e95fa.inkml,\sqrt{-7}
243,data/mathwriting-2024/train/cbdfded12b7cb65d.inkml,\frac{\partial B}{\partial z}
244,data/mathwriting-2024/train/9ea643799caf45bf.inkml,r=8.657\sqrt{\frac{D}{f}}
245,data/mathwriting-2024/train/c87174f37910388f.inkml,i_{1}^{\prime}=\frac{i_{1}\cdot vt_{1}}{\sqrt{1\cdot\frac{v^{8}}{n^{8}}}}
246,data/mathwriting-2024/train/cfb2313f58e9259e.inkml,\int f=1
247,data/mathwriting-2024/train/5e764e6ba11dfdd1.inkml,a_{(\nu_{7})}
248,data/mathwriting-2024/train/e3791275d4583db8.inkml,\hat{A}_{0}=1
249,data/mathwriting-2024/train/996a1939694ae33c.inkml,N(t)=C2^{t/d}
250,data/mathwriting-2024/train/92d54b0e2c3d1c12.inkml,|u|
251,data/mathwriting-2024/train/0140aacf53f5b943.inkml,\sigma_{t}=\frac{8\pi}{3}(\frac{\alpha\lambda_{c}}{2\pi})^{2}
252,data/mathwriting-2024/train/89af08fb2b949b62.inkml,(\frac{2}{3})^{5}\times2^{3}
253,data/mathwriting-2024/train/914c179bb340646f.inkml,\frac{dW}{dt}
254,data/mathwriting-2024/train/5f5470014a5a6bfb.inkml,\frac{2asin\frac{\theta}{2}}{b(1-cos\frac{\theta}{2})}\approx\frac{8a}{b\theta}
255,data/mathwriting-2024/train/504fcfd476290506.inkml,l_{(l_{\psi})}
256,data/mathwriting-2024/train/6b8c30d6dea78fb6.inkml,"\epsilon=\frac{T_{e,db}-T_{l,db}}{T_{e,db}-T_{e,wb}}"
257,data/mathwriting-2024/train/3fc45558b17aa70a.inkml,\Omega=\rho+i\tilde{\rho}(\rho)
258,data/mathwriting-2024/train/96c4f9eb3c1cfba2.inkml,<24>5_{H}\overline{5}_{H}
259,data/mathwriting-2024/train/b893518b9a80d0d2.inkml,P=\frac{nm\overline{v^{2}}}{3}
260,data/mathwriting-2024/train/15b945f1193170df.inkml,L=\frac{b^{2}}{a}=a-\frac{p^{2}}{4a}
261,data/mathwriting-2024/train/c5c06e9848b293cd.inkml,g(n+x)=\prod_{k=1}^{n}f(k+x)
262,data/mathwriting-2024/train/fa92e088cec8609a.inkml,"L(s,\pi,r),L(s,\tilde{\pi},r)"
